CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
46	161839	45502473	0.35	45664312
47	224615	67833141	0.33	68057756
48	224246	67908738	0.33	68132984
49	223741	67694029	0.33	67917770
50	223873	67525144	0.33	67749017
51	223348	67532602	0.33	67755950
52	230844	67667292	0.34	67898136
53	221280	67604127	0.33	67825407
54	229204	67508210	0.34	67737414
55	233003	67562763	0.34	67795766
56	224310	67494207	0.33	67718517
57	224027	67498276	0.33	67722303
58	234917	67355911	0.35	67590828
59	224410	67429884	0.33	67654294
60	222098	67338555	0.33	67560653
61	229784	67277614	0.34	67507398
62	237381	67185300	0.35	67422681
63	223052	67190741	0.33	67413793
64	224823	67065715	0.33	67290538
65	220743	67235590	0.33	67456333
66	224599	67092863	0.33	67317462
67	224434	67156522	0.33	67380956
68	234889	66972788	0.35	67207677
69	219703	66975458	0.33	67195161
70	222077	66964267	0.33	67186344
71	238300	67086371	0.35	67324671
72	225160	67034014	0.33	67259174
73	224934	67019864	0.33	67244798
74	221619	66900002	0.33	67121621
75	218442	66931376	0.33	67149818
76	231625	66738211	0.35	66969836
77	222192	66732842	0.33	66955034
78	229227	66618468	0.34	66847695
79	222860	66700830	0.33	66923690
80	220891	66662642	0.33	66883533
81	217866	66665651	0.33	66883517
82	222269	66513133	0.33	66735402
83	221319	66574947	0.33	66796266
84	229490	66576575	0.34	66806065
85	222462	66376176	0.33	66598638
86	228460	66185634	0.34	66414094
87	221860	66097408	0.33	66319268
88	241716	66111515	0.36	66353231
89	221063	66167452	0.33	66388515
90	223816	66020389	0.34	66244205
91	221443	65825082	0.34	66046525
92	216230	65736709	0.33	65952939
93	220195	65614258	0.33	65834453
94	233429	65608143	0.35	65841572
95	221879	65484251	0.34	65706130
96	222733	65402064	0.34	65624797
97	211663	65276625	0.32	65488288
98	212252	65084072	0.33	65296324
99	204753	64853123	0.31	65057876
100	189162	63778409	0.30	63967571
101	182380	29262910	0.62	29445290
102	107641	29336187	0.37	29443828
103	100498	29297775	0.34	29398273
104	107094	29201023	0.37	29308117
105	107463	29146494	0.37	29253957
106	101518	29073856	0.35	29175374
107	102845	28989040	0.35	29091885
108	101585	28891425	0.35	28993010
109	101502	28798213	0.35	28899715
110	112766	28631483	0.39	28744249
111	102820	28525993	0.36	28628813
112	103233	28388981	0.36	28492214
113	110388	28261345	0.39	28371733
114	103661	28098433	0.37	28202094
115	107639	27912978	0.38	28020617
116	112537	27716896	0.40	27829433
117	106332	27482862	0.39	27589194
118	109744	27196878	0.40	27306622
119	105053	26934127	0.39	27039180
120	105868	26640310	0.40	26746178
121	104964	26335960	0.40	26440924
122	105283	25997691	0.40	26102974
123	104850	25650820	0.41	25755670
124	105081	25297724	0.41	25402805
125	105258	24930106	0.42	25035364
126	120035	24496042	0.49	24616077
127	103277	24119293	0.43	24222570
128	102187	23734381	0.43	23836568
129	116723	23325135	0.50	23441858
130	100713	22948437	0.44	23049150
131	101155	22534997	0.45	22636152
132	97684	22128330	0.44	22226014
133	96134	21722539	0.44	21818673
134	94703	21278281	0.44	21372984
135	93748	20838457	0.45	20932205
136	97176	20414890	0.47	20512066
137	94460	20026590	0.47	20121050
138	89922	19661298	0.46	19751220
139	101626	19238510	0.53	19340136
140	86906	18856777	0.46	18943683
141	84736	18453496	0.46	18538232
142	83818	18058854	0.46	18142672
143	89509	17671660	0.50	17761169
144	81432	17291111	0.47	17372543
145	78712	16891689	0.46	16970401
146	77061	16492898	0.47	16569959
147	73987	16073516	0.46	16147503
148	68091	15566005	0.44	15634096
149	53557	12300405	0.43	12353962
150	31046	0	100.00	31046

